SRA Project,Annotation,Runs
SRP104923,sediment,SRR5468422
SRP104929,sediment,SRR5468428
SRP104925,sediment,SRR5468424
SRP104930,sediment,SRR5468430
SRP104933,sediment,SRR5468433
SRP104935,sediment,SRR5468435
SRP104936,sediment,SRR5468436
SRP104931,sediment,SRR5468431
SRP104937,sediment,SRR5468437
SRP104932,sediment,SRR5468432
SRP104941,sediment,SRR5468441
SRP104934,sediment,SRR5468434
SRP104939,sediment,SRR5468439
SRP104924,sediment,SRR5468423
SRP104926,sediment,SRR5468425
SRP104927,sediment,SRR5468426
SRP104254,sediment,SRR5457679
SRP107689,sediment,SRR5581408
SRP104238,sediment,SRR5457448
SRP104259,sediment,SRR5457733
SRP104252,sediment,SRR5457675
SRP104253,sediment,SRR5457676
SRP107695,sediment,SRR5581436
SRP107694,sediment,SRR5581435
SRP107693,sediment,SRR5581434
SRP102748,sediment,SRR5396644
SRP098467,sediment,SRR5215464
SRP098469,sediment,SRR5215466
SRP104966,sediment,SRR5468517
SRP110214,sediment,SRR5747948
