SRA Project,Annotation,Runs
SRP070419,sediment,"SRR3501062,SRR3501065,SRR3501076,SRR3501078,SRR3501100,SRR3501102,SRR3501124,SRR3501130,SRR3501132,SRR3501134,SRR3501138,SRR3501139,SRR3501140,SRR3501141,SRR3570036,SRR3570038,SRR3577067,SRR3577068,SRR3577070,SRR3577071,SRR3577073,SRR3577076,SRR3577078,SRR3577079,SRR3577081,SRR3577082,SRR3577086,SRR3577087,SRR3577090,SRR3577311,SRR3577334,SRR3577335,SRR3577337,SRR3577338,SRR3577341,SRR3577343,SRR3577344,SRR3577345,SRR3577347,SRR3577349,SRR3577350,SRR3577351,SRR3646127,SRR3646128,SRR3646129,SRR3646130,SRR3646131,SRR3646132,SRR3646144,SRR3646145,SRR3646147,SRR3646148,SRR3646150,SRR3646151,SRR3646152,SRR3646153,SRR3646155,SRR3646156,SRR3646157,SRR3646158,SRR3646160,SRR3646161,SRR3646162,SRR3646163,SRR3646164,SRR3646165,SRR3872933,SRR3872934,SRR3873131,SRR3884302,SRR3884323,SRR3884351,SRR3884355,SRR3884357,SRR3884359,SRR3884468,SRR3884472,SRR3884479,SRR3884488,SRR3884538,SRR3884540,SRR3884542,SRR3884544,SRR3884546,SRR3884547,SRR3884548,SRR3884552,SRR3884553,SRR3884554,SRR3884555,SRR3884556,SRR3872935"
SRP077065,sediment,"SRR3715698,SRR3715733"
SRP001224,sediment,"SRR028736,SRR028738"
SRP079171,sediment,"SRR3943820,SRR3943821,SRR3943822,SRR3943823"
SRP076009,sediment,"SRR3620783,SRR3620785,SRR3620786,SRR3620787"
SRP095142,sediment,"SRR5112540,SRR5112541,SRR5112542,SRR5112543,SRR5112544"
SRP081476,sediment,"SRR4023290,SRR4023291"
SRP081546,sediment,"SRR4026059,SRR4026060"
SRP107567,sediment,SRR5579815
SRP107569,sediment,SRR5579818
SRP107572,sediment,SRR5579842
SRP107574,sediment,SRR5579847
SRP107570,sediment,SRR5579825
SRP107573,sediment,SRR5579843
